x	SPPS2017H	SPPS2017M	SPPI2017H	SPPI2017M	AaxH	AaxM
0	0.00839770	0.00610297	0.02943100	0.02098114	0.036	0.042
1	0.00158542	0.00103173	0.00615344	0.00392810	0.036	0.042
2	0.00129897	0.00082895	0.00507403	0.00317632	0.036	0.042
3	0.00104859	0.00065435	0.00412794	0.00252685	0.036	0.042
4	0.00083367	0.00050689	0.00331398	0.00197655	0.036	0.042
5	0.00068023	0.00040828	0.00282181	0.00168331	0.027	0.029
6	0.00052781	0.00030580	0.00222600	0.00128179	0.027	0.029
7	0.00040894	0.00022770	0.00176224	0.00097525	0.027	0.029
8	0.00032137	0.00017175	0.00142249	0.00075556	0.027	0.029
9	0.00026229	0.00013525	0.00119595	0.00061291	0.027	0.029
10	0.00023292	0.00011948	0.00110618	0.00057119	0.022	0.020
11	0.00022076	0.00011257	0.00106413	0.00054621	0.022	0.020
12	0.00022752	0.00011630	0.00109505	0.00056347	0.022	0.020
13	0.00025007	0.00012768	0.00118348	0.00060829	0.022	0.020
14	0.00028568	0.00014405	0.00131504	0.00066750	0.022	0.020
15	0.00033507	0.00016585	0.00149979	0.00075139	0.020	0.016
16	0.00039111	0.00018639	0.00168389	0.00081224	0.020	0.016
17	0.00045489	0.00020668	0.00187844	0.00086386	0.020	0.016
18	0.00052519	0.00022578	0.00207583	0.00090325	0.020	0.016
19	0.00060089	0.00024300	0.00226981	0.00092906	0.020	0.016
20	0.00068647	0.00025658	0.00249057	0.00093306	0.018	0.017
21	0.00077032	0.00026851	0.00266578	0.00093139	0.018	0.017
22	0.00080720	0.00027723	0.00282505	0.00097253	0.018	0.017
23	0.00083478	0.00028234	0.00296653	0.00100568	0.018	0.017
24	0.00085489	0.00029457	0.00308985	0.00106715	0.018	0.017
25	0.00087883	0.00029859	0.00325145	0.00109163	0.015	0.019
26	0.00089204	0.00030968	0.00334545	0.00114766	0.015	0.019
27	0.00090521	0.00032460	0.00342988	0.00121537	0.015	0.019
28	0.00091984	0.00034419	0.00351095	0.00129817	0.015	0.019
29	0.00093609	0.00036792	0.00359607	0.00139667	0.015	0.019
30	0.00095813	0.00039333	0.00372842	0.00150113	0.014	0.020
31	0.00097509	0.00042265	0.00384799	0.00163580	0.014	0.020
32	0.00099254	0.00044823	0.00399768	0.00177060	0.014	0.020
33	0.00101224	0.00046313	0.00451287	0.00202503	0.014	0.020
34	0.00103664	0.00046838	0.00479497	0.00212481	0.014	0.020
35	0.00106574	0.00047475	0.00502304	0.00219424	0.015	0.021
36	0.00110377	0.00049826	0.00523755	0.00231853	0.015	0.021
37	0.00114721	0.00054086	0.00542992	0.00251036	0.015	0.021
38	0.00119414	0.00059489	0.00560758	0.00273942	0.015	0.021
39	0.00124367	0.00065184	0.00577799	0.00296971	0.015	0.021
40	0.00129654	0.00071132	0.00595106	0.00321648	0.014	0.019
41	0.00135343	0.00076269	0.00612936	0.00340282	0.014	0.019
42	0.00141597	0.00081075	0.00632274	0.00356656	0.014	0.019
43	0.00148509	0.00085879	0.00653866	0.00372507	0.014	0.019
44	0.00156165	0.00091377	0.00678455	0.00391099	0.014	0.019
45	0.00164954	0.00099034	0.00708814	0.00420706	0.014	0.018
46	0.00174543	0.00108011	0.00741729	0.00453772	0.014	0.018
47	0.00185450	0.00118633	0.00779892	0.00493218	0.014	0.018
48	0.00197995	0.00130441	0.00824049	0.00536711	0.014	0.018
49	0.00212474	0.00143042	0.00874949	0.00582326	0.014	0.018
50	0.00229909	0.00156373	0.00939207	0.00630956	0.013	0.017
51	0.00248794	0.00169267	0.01006250	0.00676191	0.013	0.017
52	0.00269824	0.00181901	0.01082333	0.00720687	0.013	0.017
53	0.00292846	0.00194719	0.01168207	0.00767218	0.013	0.017
54	0.00317707	0.00208762	0.01264624	0.00820764	0.013	0.017
55	0.00343701	0.00224757	0.01368028	0.00883173	0.014	0.018
56	0.00372051	0.00244731	0.01487410	0.00965909	0.014	0.018
57	0.00402408	0.00268573	0.01619550	0.01067112	0.014	0.018
58	0.00435234	0.00296169	0.01765196	0.01185847	0.014	0.018
59	0.00471240	0.00327141	0.01925100	0.01319366	0.014	0.018
60	0.00513264	0.00359577	0.02113726	0.01453534	0.013	0.019
61	0.00558744	0.00395670	0.02305636	0.01602642	0.013	0.019
62	0.00610574	0.00433826	0.02514159	0.01753458	0.013	0.019
63	0.00669847	0.00474121	0.02740048	0.01903695	0.013	0.019
64	0.00737580	0.00517036	0.02984059	0.02053264	0.013	0.019
